"vuosi","syrtun","oty","toimiala","SLHKY","sllvy"
1,"0001808",1,"F","1","3"
1,"0001809",1,"A","6","6"
1,"0001810",1,"K","2","1"
1,"0001811",1,"P","6","1"
1,"0001814",1,"D","8","8"
1,"0001816",1,"M","5","6"
1,"0001817",3,"N","6","1"
1,"0001820",1,"H","9","9"
1,"0001821",1,"D","7","7"
1,"0001822",1,"K","7","1"
1,"0001830",1,"D","4","5"
1,"0001833",3,"N","6","1"
1,"0001834",1,"A","3","5"
1,"0001835",1,"G","7","8"
1,"0001840",1,"I","4","5"
1,"0001841",1,"P","1","2"
1,"0001842",1,"G","3","5"
1,"0001843",1,"O","3","1"
1,"0001845",1,"F","3","5"
1,"0001846",1,"M","1","2"
1,"0001848",3,"N","9","1"
1,"0001853",1,"D","9","9"
1,"0001856",1,"D","4","5"
1,"0001857",1,"D","5","6"
1,"0001868",1,"D","6","7"
1,"0001874",1,"G","1","4"
1,"0001875",2,"G","5","7"
1,"0001878",1,"I","4","5"
1,"0001880",1,"F","6","7"
1,"0001883",1,"F","5","6"
1,"0001885",1,"F","5","6"
1,"0001887",1,"D","7","7"
1,"0001892",1,"I","4","5"
1,"0001898",1,"D","6","6"
1,"0001899",1,"G","1","5"
1,"0001902",5,"G","6","7"
1,"0001903",1,"A","1","1"
1,"0001906",1,"F","2","5"
1,"0001909",1,"O","4","1"
1,"0001910",1,"G","7","8"
1,"0001914",1,"D","7","7"
1,"0001925",1,"D","2","4"
1,"0001932",1,"H","5","6"
1,"0001933",1,"F","1","3"
1,"0001935",1,"D","2","4"
1,"0001937",1,"L","7","6"
1,"0001942",1,"G","1","4"
1,"0001947",1,"L","7","6"
1,"0001950",1,"F","5","6"
1,"0001953",1,"D","4","5"
1,"0001954",1,"D","5","6"
1,"0001955",1,"G","3","5"
1,"0001958",1,"G","8","9"
1,"0001959",1,"F","6","6"
1,"0001960",1,"F","6","7"
1,"0001962",1,"G","3","6"
1,"0001965",1,"L","3","5"
1,"0001967",1,"F","3","5"
1,"0001968",1,"S","2","1"
1,"0001971",1,"H","1","3"
1,"0001975",1,"G","2","5"
1,"0001978",1,"I","4","5"
1,"0001980",1,"D","3","5"
1,"0001981",1,"P","7","7"
1,"0001983",1,"D","1","3"
1,"0001985",1,"H","1","1"
1,"0001988",1,"G","1","4"
1,"0001990",1,"D","4","6"
1,"0001993",1,"G","3","5"
1,"0001994",1,"D","6","7"
1,"0001995",1,"D","4","5"
1,"0001997",3,"N","6","1"
1,"0002003",1,"L","1","1"
1,"0002005",1,"D","4","5"
1,"0002007",3,"N","7","1"
1,"0002008",1,"P","3","1"
1,"0002011",1,"P","5","1"
1,"0002013",1,"D","2","4"
1,"0002014",1,"D","3","6"
1,"0002017",1,"P","5","1"
